v.x,v.y,v.z,n.x,n.y,n.z
-0.616957835,-0.198452565,0.761563923,-0.616957835,-0.198452565,0.761563923
-0.656430963,-0.220183085,0.721538495,-0.656430963,-0.220183085,0.721538495
-0.632800295,-0.286089072,0.719525419,-0.632800295,-0.286089072,0.719525419
-0.632800295,-0.286089072,0.719525419,-0.632800295,-0.286089072,0.719525419
-0.656430963,-0.220183085,0.721538495,-0.656430963,-0.220183085,0.721538495
-0.669649469,-0.306782262,0.67635363,-0.669649469,-0.306782262,0.67635363
-0.499999583,0.288673824,0.8164973,-0.499999583,0.288673824,0.8164973
-0.546600509,0.20239855,0.812565511,-0.546600509,0.20239855,0.812565511
-0.49482213,0.225379482,0.83925869,-0.49482213,0.225379482,0.83925869
-0.487392711,0.161059425,0.858200564,-0.487392711,0.161059425,0.858200564
-0.49482213,0.225379482,0.83925869,-0.49482213,0.225379482,0.83925869
-0.538716661,0.137885911,0.831126846,-0.538716661,0.137885911,0.831126846
-0.587937384,0.114174071,0.800808288,-0.587937384,0.114174071,0.800808288
-0.538716661,0.137885911,0.831126846,-0.538716661,0.137885911,0.831126846
-0.546600509,0.20239855,0.812565511,-0.546600509,0.20239855,0.812565511
-0.546600509,0.20239855,0.812565511,-0.546600509,0.20239855,0.812565511
-0.538716661,0.137885911,0.831126846,-0.538716661,0.137885911,0.831126846
-0.49482213,0.225379482,0.83925869,-0.49482213,0.225379482,0.83925869
-0.465923318,0.030516397,0.884298711,-0.465923318,0.030516397,0.884298711
-0.477745138,0.096006376,0.873236714,-0.477745138,0.096006376,0.873236714
-0.515912259,0.006655721,0.856615574,-0.515912259,0.006655721,0.856615574
-0.563922893,-0.017230477,0.825647674,-0.563922893,-0.017230477,0.825647674
-0.515912259,0.006655721,0.856615574,-0.515912259,0.006655721,0.856615574
-0.52821953,0.07226494,0.846027131,-0.52821953,0.07226494,0.846027131
-0.487392711,0.161059425,0.858200564,-0.487392711,0.161059425,0.858200564
-0.52821953,0.07226494,0.846027131,-0.52821953,0.07226494,0.846027131
-0.477745138,0.096006376,0.873236714,-0.477745138,0.096006376,0.873236714
-0.477745138,0.096006376,0.873236714,-0.477745138,0.096006376,0.873236714
-0.52821953,0.07226494,0.846027131,-0.52821953,0.07226494,0.846027131
-0.515912259,0.006655721,0.856615574,-0.515912259,0.006655721,0.856615574
-0.653281124,-0.064713319,0.754344722,-0.653281124,-0.064713319,0.754344722
-0.609771117,-0.041050604,0.79151376,-0.609771117,-0.041050604,0.79151376
-0.623612111,0.024850036,0.781338858,-0.623612111,0.024850036,0.781338858
-0.587937384,0.114174071,0.800808288,-0.587937384,0.114174071,0.800808288
-0.623612111,0.024850036,0.781338858,-0.623612111,0.024850036,0.781338858
-0.577263776,0.048584039,0.815111111,-0.577263776,0.048584039,0.815111111
-0.563922893,-0.017230477,0.825647674,-0.563922893,-0.017230477,0.825647674
-0.577263776,0.048584039,0.815111111,-0.577263776,0.048584039,0.815111111
-0.609771117,-0.041050604,0.79151376,-0.609771117,-0.041050604,0.79151376
-0.609771117,-0.041050604,0.79151376,-0.609771117,-0.041050604,0.79151376
-0.577263776,0.048584039,0.815111111,-0.577263776,0.048584039,0.815111111
-0.623612111,0.024850036,0.781338858,-0.623612111,0.024850036,0.781338858
-0.587937384,0.114174071,0.800808288,-0.587937384,0.114174071,0.800808288
-0.577263776,0.048584039,0.815111111,-0.577263776,0.048584039,0.815111111
-0.538716661,0.137885911,0.831126846,-0.538716661,0.137885911,0.831126846
-0.487392711,0.161059425,0.858200564,-0.487392711,0.161059425,0.858200564
-0.538716661,0.137885911,0.831126846,-0.538716661,0.137885911,0.831126846
